CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,7.59,2.131,2.558,,6.749,,,2.425,1.683,1.865,1.739,1.33005,1.8,2.193,2.554,2.934,1.491,1.27,1.6632,3.494,5.895,,3.599,4.064,1.361,3.315,2.32,,2.392,1.20504,6.211,5.632,3.68,4.948,,3.581,,5.394,6.584,2.045,1.762,2.603,4.267,4.807,,2.365,5.109,1.38,1.625,1.679,1.14216,1.957,6.835,1.7445,4.682,,2.863,2.898,3.253,2.802,5.725,5.335,1.33626,6.053,3.046,1.72565,1.89557,3.935,5.57,1.6,1.34643,4.622,,1.25058,2.511,4.719,5.915,5.864,2.45,4.182,,3.884,0.932,1.30858,1.95233,3.21,2.42,2.149,4.873,1.93516,,1.25166,2.568,1.33,3.74,,4.995,,2.361,2.4,4.333,1.21,2.271,3.975,6.0875,3.117,1.52314,1.29686,1.65544,0.894,5.447,6.163,2.92,2.604,6.76,1.47576,,5.015,1.91,2.623660498,4.206,,2.094,1.807,,2.621,5.627,2.486,3.938,,3.841,1.70953,,1.97,3.139,7.451,5.787,,1.78412,4.159,4.582,,5.757,2.73,4.451,3.597,2.873,3.445,1.31494,1.4541,3.034,1.3,1.534,1.27001,1.25,5.854,,2.2,2.32,4.49,,4.485,4.039,5.501,,1.98,5.368,1.41,1.20043,1.21049,4.508,6.507,2.834,1.24446,2.256,5.012,2.685,4.128,1.56715,1.38374,3.719,3.936,1.811,1.624,7.091,4.992,,4.172,1.619,2.05,2.319,2.784,,,6.791,1.1,2.596,1.62709,5.674,2.034,2.14,2.46,4.393,2.79,2.28,6.126,6.141,3.803,,,,2.451,,,1.9346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,4,1,3,2,3,1,3,1,4,0,0,2,2,1,0,0,1,2,3,3,0,2,4,2,1,1,0,1,3,3,4,4,1,3,2,2,3,0,3,3,1,1,4,2,3,0,4,4,3,2,3,4,1,3,2,3,1,3,1,4,0,0,2,2,1,0,0,1,2,3,3,0,2,4,2,1,1,0,1,3,3,4,4,1,3,2,2,3,0,3,3,1,1,4,2,3,0,4,4,3,2,3,4,1,3,2,3,1,3,1,4,0,0,2,2,1,0,0,1,2,3,3,0,2,4,2,1,1,0,1,3,3,4,4,1,3,2,2,3,0,3,3,1,1,4,2,3,0,4,4,3,2,3,4,1,3,2,3,1,3,1,4,0,0,2,2,1,0,0,1,2,3,3,0,2,4,2,1,1,0,1,3,3,4,4,1,3,2,2,3,0,3,3,1,1,4,2,3,0,4,4,3,2,3,4,1,3,2,3,1,3,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,23630319.5,3067556,30506054,,14279518,,77134,36938728,3075811,90657,19153000,8011560.509,8048534.786,304812,650012,140766909,251656,10005000,10252000,249800,6659331,62131,561175,8317371,3693578,1722554,174425387,,333471,8060000,11676155,6472622,12446949,15865456,30769700,438971,40200,3745727,8401696,15418704,1262645000,39772905,540327.3638,3035508,,3930863,17281479,4426000,11086832,786607,10273300,22858710,50829248,5337344,729561,71326,8829829,12310314,70173793,5945317,528882,3657325,1369512.615,65514626,801681,5176197.681,60762169,1233410,1301808,4418300,82210000,19529305,28905,10917500,101208,11230704,8383554,1303763,756259,8647874,,6229981,6665000,10210971,281000,1015923000,205280270,63938646.17,25108524.5,3805400,6289000,56948600,2589388.551,126870000,4797500,14883626,31440637,84023,2190000,4915300,5403262,2372000,3772283,1888520,2824427,5346375,32863,3499527.497,436300,440898,15275362,11228756,23273615,272248,11295324,390000,51288.59141,2603740,1186873,97966000,107103,32002,2389197,660628,,28827115,18249419,46609819,1823997,,24431756,15925431.06,,3857800,5100914,11031046,124842371,,4491000,2402184,138080000,19129,3004149.794,2950801,5387613,5350235,26004162,77689369,38453757,10225803.46,616817,47008000,3639588,22443000,146303000,7957797,44286,155996,107857,176556,,140131,20644121,9901787,7516346,81131,4228178,4027900,5388740.814,1989000,415544,7394196,44000000,40263200,18713711,34187729,467162,1079690,8869000,7184222.2,16510861,6172891,62346822,2009091,830089,5247486,,98587,1295100,9563500,66459578,4501727,18867,9419,24432843,49175847.64,3238054,58892514,34131312,282172000,3300847.408,24650000,185074,24311000,77635400,18181733,10201562,12455362,,,,56200,,,3814413,76591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.580870138,-0.074950162,1.434415048,,2.723812735,,2.19149508,1.09777368,-0.474260422,2.106819499,1.192272323,0.117080784,0.817578003,1.473341411,2.250792575,1.815351471,-0.334421273,-0.299401421,0.253931184,2.718771637,3.108701314,0.139222566,2.893329292,2.055248898,2.530046688,1.741584023,1.437317783,,2.296225079,-1.819573191,3.0052818,1.491111367,1.804043299,2.357785809,0.882998577,1.823013848,3.03053495,2.097080501,3.462758818,1.223536225,0.787956593,1.678137716,2.111400782,1.920174208,,2.289326019,2.521353845,-2.850972601,0.256027205,1.376955649,-0.094374967,0.820608644,2.548412623,0.342196683,2.839001513,-0.285602479,1.598606981,1.350473498,1.890255757,0.525454441,2.997696023,3.540580672,-0.447094155,2.671272009,0.737795442,0.207916592,0.677696633,2.349152376,3.479784253,-0.771072946,0.149728873,2.397799232,0.530726049,0.316506766,0.121605805,2.370297529,1.940030611,2.277921891,-0.013618745,1.8241959,,2.074456964,0.881594076,-0.259764908,1.253373615,1.678203282,1.357218351,1.645195953,3.02184636,1.333282541,2.642331913,0.047510257,0.584824638,0.17355637,2.469000707,-0.300548838,2.602477264,1.784389324,3.863640901,1.036829706,2.048408867,-0.755988481,1.404328307,1.597962214,6.445027114,2.031808873,1.169210185,-0.895315851,1.344082996,1.527145003,2.977632058,2.767462151,2.25772079,1.617802958,2.924962916,0.51413995,0.743039858,2.777942887,0.982676166,1.420233108,-0.125035007,0.667808285,1.2289775,0.283768979,,1.230541533,2.619518732,1.011233559,2.185948139,,2.354296955,0.759092346,,0.590156271,1.577628264,3.398187367,2.437480026,,0.692662807,1.749300073,2.411521558,1.299642086,3.477721987,1.924665491,2.654410113,2.076116409,1.534297414,2.016939388,-0.529733689,0.50788309,4.517044513,0.835251852,-0.20341492,-0.066786943,-0.004100994,6.686732673,4.682758783,1.4808197,0.01947212,0.743028674,,1.776176574,2.184699178,2.643299918,-0.319524801,0.892658567,2.482491237,1.732945979,-0.118217211,0.176122828,2.714692675,2.816151059,2.477053273,0.84038981,0.548458543,2.424901305,1.402670287,1.632420238,0.130878257,0.617448403,2.577743863,1.203016538,0.842114278,0.394637381,0.810781744,3.211958674,,0.357683974,0.399685797,1.131488354,1.543476282,1.326768061,7.498493799,0.478902634,3.100960316,-1.006597042,5.491125968,0.357300887,2.54009654,1.116167336,0.365067434,1.019376819,2.093914286,1.843217114,0.155204272,2.917761642,2.545936998,0.684016382,,,,0.178094437,,,0.376440429,1.281167537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,7.729,2.222,2.621,,6.825,,,2.477,1.687,1.901,1.756,1.36353,2,2.248,2.603,3.034,1.49,1.31,1.66658,3.594,5.966,1.74,3.77,4.141,1.409,3.413,2.364,,2.472,1.26138,6.26,5.772,3.879,4.983,1.49,3.725,,5.446,6.605,2.084,1.767,2.64,4.321,4.828,,2.429,5.162,1.39,1.626,1.738,1.14334,1.99,6.911,1.77031,4.802,1.9,2.892,2.953,3.317,2.934,5.773,5.43,1.38481,6.174,3.09,1.72875,1.8938,4.052,5.64,1.625,1.38003,4.684,,1.26465,2.581,4.801,5.991,5.878,2.465,4.303,,3.997,1.035,1.31887,2.07931,3.28,2.453,2.22,5.024,1.88679,2.95,1.25688,2.596,1.359,3.889,1.8,5.001,3.84,2.418,2.4,4.579,1.24,2.386,4.089,6.125,3.188,1.57277,1.39075,1.76249,0.938,5.553,6.245,2.969,2.801,6.8,1.7004,5.508333333,5.092,1.99,2.703197451,4.301,,2.151,1.822,,2.703,5.694,2.523,4.033,,3.996,1.72233,,2,3.251,7.497,5.86,,1.85131,4.413,4.687,1.535,5.84,2.749,4.507,3.677,2.929,3.518,1.35266,1.55323,3.129,1.47,1.568,1.30594,1.21,5.882,2.2242,2,2.379,4.506,,4.577,4.201,5.602,1.54,2.08,5.387,1.4425,1.29896,1.25897,4.615,6.507,2.866,1.23414,2.223,5.132,2.726,4.222,1.54399,1.49638,3.79,4.03,1.819,1.671,7.112,5.102,,4.169,1.638,2.08,2.382,2.837,,,6.84,1.1,2.696,1.64115,5.689,2.056,2.19,2.58,4.45,2.83,2.327,6.285,6.16,3.862,,,,2.308,,,2.0485,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1,4,2,3,2,0,2,2,2,1,2,1,0,4,0,1,1,2,1,3,0,1,0,1,0,2,1,3,4,1,2,3,2,3,1,3,2,2,3,1,0,0,2,4,1,1,4,2,1,4,3,1,4,2,3,2,0,2,2,2,1,2,1,0,4,0,1,1,2,1,3,0,1,0,1,0,2,1,3,4,1,2,3,2,3,1,3,2,2,3,1,0,0,2,4,1,1,4,2,1,4,3,1,4,2,3,2,0,2,2,2,1,2,1,0,4,0,1,1,2,1,3,0,1,0,1,0,2,1,3,4,1,2,3,2,3,1,3,2,2,3,1,0,0,2,4,1,1,4,2,1,4,3,1,4,2,3,2,0,2,2,2,1,2,1,0,4,0,1,1,2,1,3,0,1,0,1,0,2,1,3,4,1,2,3,2,3,1,3,2,2,3,1,0,0,2,4,1,1,4,2,1,4,3,1,4,2,3,2,0,2,2,2,1,2,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,23028254.32,3069856,30071594,,13895820,,75462,36535442,3090433,88767,18926000,8002186,7983000,300354,635545,138234550,252499,10035000,10226000,243100,6455497,62044.55981,545171,8148173,3601301,1692814,171936271,,325901,8208000,11330474,6376824,12224414,15495758,30499200,431041,39000,3667994,8115745,15231200,1252735000,39111030,529038.4838,2977777,,3841895,16851199,4554000,11058483,775850,10283000,22671897,49550275,5319111,709140,71530,8689797,12145184,68859787,5914159,513263,3530100,1375649.334,63787720,795788,5165446.687,60351778,1204773,1257287,4452500,82087000,19066601,28752,10883000,101085,10967633,8222478,1274400,756362,8491550,,6102074,6606500,10237530,277500,999016010.5,202512990,62895335.93,24361132.85,3755000,6125000,56921550,2574289.364,126650000,4680500,14928425.85,30632957,82537,2107000,4864600,5293707,2390000,3719678,1858582,2648134,5238843,32481,3531000,430475,434216,14827223,10922265,22754049,267879,10969725,388000,50908.90908,2532405,1175267,96584488,107237,31789,2360014,658756,,28474559,17777579,46140860,1784558,,23863278,15805000,,3835100,5021072,10662488,121836150,,4460000,2360528,134790000,18882,2901469.63,2894551,5246485,5240303,25608226,76138118,38658000,10174000,589575,46617000,3646999,22457994,146309000,7443081,42260,153703,107836,175249,,137664,20198000,9643482,7540401,80410,4124506,3958700,5395115,1985500,404415,7188869,42923484.53,39926250,18611355,33368681,460655,1062208,8857400,7140000,16090692,6099075,61823995,2001178,823386,5081617,,98235,1289934,9455900,65441666,4442394,17504,9374,23686817,49673349.99,3065042,58682466,33275262,279040000,3288819.058,24400000,181239,23867000,77515000,17658898,9945115,12370456,,,,56100,,,3800081,75616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.580870138,-0.187845309,1.424077593,,2.539335468,,2.391139864,1.16791274,-0.598413087,1.967015441,1.142505187,0.246799445,0.880730404,1.537627275,2.240330451,1.85634579,-0.504075936,-0.338241469,0.225170196,1.910357099,2.979111033,0.139222566,2.763210865,2.072387389,3.421345121,1.956017287,1.480377248,,2.38161201,-0.595203701,2.891705272,1.021362352,1.968511855,2.370292505,0.827369318,1.86655632,3.922071315,2.231979901,3.352408944,1.268556407,0.865851393,1.712343874,2.111400782,1.681134739,,2.410190031,2.712126957,1.170637333,0.277583869,1.426900685,-0.115658073,0.914778897,2.310563208,0.341070212,3.2582222,-0.386502222,1.620145391,1.42058535,1.88589713,0.598916248,3.067838725,3.194854813,-0.764032803,2.698874731,0.77050186,0.2412513,0.317002956,2.45065575,3.582991694,-0.778544839,0.048740664,2.423017511,0.160116989,0.442030373,0.064323003,2.320716958,1.99410696,2.184628665,-0.126974916,1.878621542,,2.101800505,0.955125814,-0.28326061,1.26928268,1.699370729,1.368847798,1.677306996,3.02184636,1.127504278,2.546433887,0.018623855,0.682484662,0.189678394,1.791401552,-0.952511042,2.609321055,1.760070858,3.870826735,1.39937698,2.226307901,-0.833338156,1.25482982,1.801742941,8.210764291,2.024052211,1.17681207,-0.677394631,1.350621285,1.355946691,3.021256917,2.878466644,2.391257776,1.712738754,2.840469842,0.776200534,-0.044692336,2.763911294,1.271248552,1.390196407,-0.342577671,0.83711575,1.203005168,0.935358079,,1.290427825,2.554171199,1.149277652,2.315631176,,2.413458641,0.679302996,,0.525484536,1.682220063,3.420379116,2.440121056,,0.629781659,1.807920255,2.408778033,2.076273215,3.477721987,1.958174006,2.68905725,2.113604954,1.598920021,2.057967987,-0.021067158,0.44328497,3.696894845,0.710413734,-0.158142002,-0.200200267,-0.402445224,9.026594495,5.171682791,1.14574874,-0.036159492,0.921211132,,1.802378847,2.505869479,2.662662342,-0.361977305,1.964196367,1.757107213,0.798898478,0.082664463,0.146165697,2.742658647,2.963796108,2.414084524,0.515146966,0.60837983,2.486110363,1.395545347,2.056478351,0.063243966,0.421053254,2.447064398,1.281865851,0.689434479,0.439405732,-0.753904199,3.463361895,,0.217062407,0.423241595,1.305023524,1.61132991,1.264034858,4.803918937,0.427625197,3.052895553,-0.942908046,5.705301829,0.333405882,2.501999342,1.148340047,0.458421879,1.440655657,1.833646876,1.920532803,1.291932145,2.922564216,2.680699384,0.997892681,,,,0,,,0.500714523,1.380893476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,7.846,2.318,2.715,,6.882,,,2.535,1.712,1.938,1.755,1.33952,2.07,2.306,2.661,3.137,1.492,1.31,1.61555,3.696,6.041,,3.954,4.219,1.452,3.519,2.399,,2.558,1.23218,6.314,5.9,4.1,5.03,,3.87,,5.488,6.618,2.132,1.775,2.682,4.383,4.849,,2.491,5.22,1.38,1.621,1.808,1.13242,2.03,6.974,1.734,4.926,,2.926,3.007,3.377,3.07,5.814,5.525,1.31687,6.301,3.133,1.73455,1.80899,4.181,5.708,1.659,1.36,4.753,,1.24299,2.665,4.884,6.07,5.89,2.479,4.426,,4.116,0.982,1.28184,1.99356,3.351,2.489,2.319,5.172,1.89961,,1.23308,2.624,1.342,4.05,1.7,5.019,,2.487,2.629,4.83,1.16,2.503,4.2,6.1625,3.263,,1.45994,1.74132,0.997,5.655,6.323,3.019,3.04,6.78,1.77055,5.71,5.171,2.05,2.747793622,4.39,,2.234,1.829,,2.798,5.758,2.567,4.134,,4.145,1.65188,,1.94,3.384,7.541,5.936,,1.84514,4.683,4.798,,5.925,2.764,4.557,3.758,2.993,3.596,1.36897,1.50416,3.229,1.42,1.613,1.30152,1.17,5.899,,2.1,2.442,4.515,,4.665,4.366,5.714,,2.04,5.406,1.475,1.3296,1.21337,4.728,6.504,2.899,1.19382,2.199,5.248,2.751,4.326,1.4984,1.48167,3.87,4.13,1.832,1.722,7.079,5.215,,4.175,1.665,2.09,2.452,2.914,,,6.886,1.2,2.802,1.68427,5.711,2.0075,2.25,2.72,4.507,2.85,2.391,6.458,6.175,3.932,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,3,1,2,1,3,2,3,1,3,1,3,1,3,1,1,4,0,1,4,1,3,3,1,0,2,3,1,4,4,2,3,0,3,2,4,3,1,2,2,2,2,2,0,2,1,1,2,3,4,4,4,3,1,2,1,3,2,3,1,3,1,3,1,3,1,1,4,0,1,4,1,3,3,1,0,2,3,1,4,4,2,3,0,3,2,4,3,1,2,2,2,2,2,0,2,1,1,2,3,4,4,4,3,1,2,1,3,2,3,1,3,1,3,1,3,1,1,4,0,1,4,1,3,3,1,0,2,3,1,4,4,2,3,0,3,2,4,3,1,2,2,2,2,2,0,2,1,1,2,3,4,4,4,3,1,2,1,3,2,3,1,3,1,3,1,3,1,1,4,0,1,4,1,3,3,1,0,2,3,1,4,4,2,3,0,3,2,4,3,1,2,2,2,2,2,0,2,1,1,2,3,4,4,4,3,1,2,1,3,2,3,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,22441528.86,3075628,29646386,,13547401,,73679,36111222,3108982,87038,18711000,7982461,7913000,295771,621465,135692110,253775,10069000,10203000,238500,6266017,61958.23989,530313,7981049,3480172,1660024,169409713,,318231,8257000,11007522,6312025,11986128,15132782,30247900,423070,37500,3587032,7848182,15039204,1241935000,38447016,517985.4585,2928135,,3750405,16400315,4501000,11027829,764858,10294900,22465445,48418510,5301000,686407,71807,8550144,11973871,67573331,5878844,497756,3419101,1386200,62089193,789680,5153000,60160764,1175607,1213036,4487300,82047000,18610166,28706,10835000,101020,10716036,8060137,1246861,757323,8333515,,5975159,6543700,10266570,274000,982182462.1,199759782,61849186.16,23635988.4,3712900,5971000,56910950,2556780.051,126410000,4597400,15071300.13,29843983,81097,2027000,4797000,5177155,2410000,3673294,1825395,2439389,5133872,32101,3555000,424700,428368,14385954,10612353,22216395,263330,10662517,385000,50931.66655,2463370,1160421,95251064,107605,31524,2331793,652623,,28109476,17329259,45613609,1743709,,23294242,15698000,,3815000,4937313,10303957,118899179,,4432000,2318235,131582000,18494,2802299.017,2838422,5107284,5130706,25202027,74587233,38666145,10129000,568177,46287000,3652771,22503000,146899000,6800655,40130,151952,107875,173642,,135205,19698153.39,9390097,7567745,78846,4052667,3927200,5390657,1982600,393474,6978932,41899682.78,39721100,18498471,32549326,454271,1040587,8851800,7110000,15701721,6021392,61399225,1992404,829617,4908635,,98022,1284486,9333300,64395635,4386594,16683,9334,22974610,50143939.13,2895067,58487141,32453044,275854000,3273776.897,24051000,177946,23413000,76520000,17150274,9682058,12247626,,,,56100,,,3781101,74579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.580870138,-0.362779131,1.463512283,,2.455617506,,2.544344747,1.226603449,-0.826046475,2.079187997,1.042235716,0.142225181,0.952327685,1.605951049,2.285417579,1.892963167,-0.594427195,-0.475578029,0.215855657,3.629000141,2.92336565,0.139222566,2.323929223,2.098548197,3.348883522,2.150149079,1.511003801,,2.462261872,-0.664710927,2.805496814,0.730159475,2.149913004,2.400878684,0.865613663,1.927599737,4.360363748,2.352326238,3.254940963,1.331838578,0.959550406,1.74379646,2.111400782,1.567685293,,2.493552919,2.888237943,-1.565115162,0.308969088,1.466659593,-0.08932473,1.017064232,2.240999917,0.317046109,3.451779302,-0.326731794,1.652867233,1.506717011,1.883018154,0.706283145,3.140683512,2.737157945,-0.990604612,2.754923438,0.829589025,0.255809156,0.419128121,2.563178129,3.669366241,-0.982389344,-0.029247249,2.465012193,-0.076609677,0.536740137,0.099039327,2.286116418,2.155193318,2.15111568,-0.163732558,1.923055224,,2.149833208,0.834808807,-0.232679337,0.732604009,1.720538176,1.384208216,1.70941804,3.02184636,1.04506041,2.28687869,0.03013934,0.892249131,0.252672401,3.053917632,-1.726093752,2.646041384,1.706275617,2.346002276,1.512316157,2.376981908,-1.646127705,1.299316871,1.919426465,9.089106258,2.014796237,1.193978553,-0.700773716,1.243870803,1.263646526,3.05446596,2.801973031,2.492594161,1.840399319,2.768846723,0.520834511,-0.044692336,2.746716449,1.051421625,1.400579494,-0.317325088,0.949807937,1.106280197,1.406361423,,1.349884836,2.57830862,1.25786021,2.414697087,,2.458862985,0.581378414,,0.88463533,1.799410902,3.431635283,2.445492389,,0.631502421,1.935455915,2.403359371,2.369143771,3.477721987,1.986503716,2.709581485,2.156356824,1.65863056,2.097439788,0.041763593,0.395687528,3.019558474,0.722024797,-0.188282303,-0.226380015,-0.275320276,10.04283223,-1.508622652,1.515853678,-0.067648029,1.03795242,,1.824162596,2.505869479,2.681768249,-1.076224227,1.95568619,1.064479132,3.397882301,0.137814683,-0.169129568,2.769043786,2.853243849,2.351115775,0.349795763,0.678737914,2.537587854,1.386275813,2.34973436,0.026698699,0.309903051,2.371417325,1.35039468,0.615297472,0.473412603,-1.522077187,3.575950583,,0.15212234,0.460698697,1.275605895,1.665775757,1.309662135,2.802189123,0.386432426,3.033028369,-0.893741564,5.836970534,0.291404371,2.523190926,1.165714526,0.53890651,1.609490295,1.714569005,1.958140716,1.394943004,3.028837211,2.76389887,1.280632209,,,,0.178412179,,,0.57478869,1.374397225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,7.938,2.413,2.845,,6.925,,,2.596,1.762,1.977,1.762,1.36942,2,2.366,2.731,3.243,1.498,1.27,1.59654,3.8,6.12,,4.152,4.302,1.485,3.631,2.427,,2.647,1.11167,6.372,6.017,4.335,5.094,,4.02,,5.522,6.625,2.189,1.786,2.727,4.455,4.876,,2.553,5.289,1.45,1.615,1.889,1.15637,2.075,7.026,1.72238,5.058,,2.966,3.06,3.435,3.201,5.847,5.62,1.28394,6.429,3.173,1.70032,1.77945,4.322,5.773,1.703,1.36,4.829,,1.25735,2.762,4.97,6.15,5.901,2.49,4.547,,4.239,1.017,1.32415,2.04656,3.426,2.531,2.456,5.309,1.9404,2.98,1.21359,2.652,1.384,4.219,1.8,5.05,,2.568,2.648,5.067,1.09,2.613,4.302,6.2,3.343,,1.45877,1.6804,1.067,5.752,6.398,3.073,3.32,6.76,1.88459,,5.251,1.97,2.706110893,4.471,,2.347,1.831,,2.906,5.82,2.619,4.24,,4.289,1.62806,,1.92,3.535,7.585,6.014,,1.81368,4.96,4.916,,6.012,2.776,4.599,3.839,3.064,3.679,1.4356,1.47538,3.338,1.47,1.667,1.31625,1.24,5.908,,2.1,2.509,4.523,,4.748,4.533,5.834,,2.04,5.424,1.494,1.37457,1.23398,4.845,6.499,2.937,1.15554,2.19,5.357,2.757,4.441,1.50481,1.46995,3.964,4.237,1.851,1.775,6.986,5.329,,4.193,1.7,2.23,2.524,3.021,,,6.927,1.2,2.922,1.71351,5.741,1.999,2.38,2.815,4.562,2.9,2.476,6.641,6.188,4.017,,,,2.39,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,3,1,2,1,3,2,3,1,3,1,3,1,3,1,1,4,0,1,4,1,3,3,1,0,2,3,1,4,4,2,3,0,3,2,4,3,1,2,2,2,2,2,0,2,1,1,2,3,4,4,4,3,1,2,1,3,2,3,1,3,1,3,1,3,1,1,4,0,1,4,1,3,3,1,0,2,3,1,4,4,2,3,0,3,2,4,3,1,2,2,2,2,2,0,2,1,1,2,3,4,4,4,3,1,2,1,3,2,3,1,3,1,3,1,3,1,1,4,0,1,4,1,3,3,1,0,2,3,1,4,4,2,3,0,3,2,4,3,1,2,2,2,2,2,0,2,1,1,2,3,4,4,4,3,1,2,1,3,2,3,1,3,1,3,1,3,1,1,4,0,1,4,1,3,3,1,0,2,3,1,4,4,2,3,0,3,2,4,3,1,2,2,2,2,2,0,2,1,1,2,3,4,4,4,3,1,2,1,3,2,3,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
